,master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment
18589,45e919de-29f5-11ea-87cc-000d3a38a36f,817 days,12.0,1857.67,2,5,5,25,cant_loose
18590,e08d60a8-b1cd-11e9-89fa-000d3a38a36f,680 days,5.0,521.1899999999999,3,4,3,34,loyal_customers
18591,6c0d6b08-a389-11e9-a2fc-000d3a38a36f,790 days,9.0,1244.15,2,5,5,25,cant_loose
18592,c5ffc76c-a5bb-11e9-a2fc-000d3a38a36f,1801 days,8.0,1238.43,1,5,5,15,cant_loose
18593,57ca992a-26ad-11ea-aaaa-000d3a38a36f,791 days,5.0,679.8599999999999,2,4,4,24,at_risk
18594,c672f11a-aef8-11e9-a2fc-000d3a38a36f,918 days,2.0,116.72,2,2,1,22,hibernating
18595,9764c0de-dea4-11e9-957d-000d3a38a36f,613 days,3.0,352.97,3,3,2,33,need_attention
18596,81a7dc00-2697-11ea-b9a0-000d3a38a36f,664 days,6.0,1081.94,3,4,5,34,loyal_customers
18597,4116f666-a68a-11eb-a6d3-000d3a299ebf,33 days,2.0,311.86,5,2,2,52,potential_loyalists
18598,87367058-9dd2-11e9-9897-000d3a38a36f,932 days,9.0,946.96,2,5,4,25,cant_loose
18599,802543a0-26ff-11ea-aaaa-000d3a38a36f,721 days,7.0,1264.02,3,5,5,35,loyal_customers
18600,7f2a215a-ac1b-11e9-a2fc-000d3a38a36f,1398 days,15.0,1604.04,1,5,5,15,cant_loose
18601,9bae735c-9ddf-11e9-9897-000d3a38a36f,1882 days,28.0,2773.68,1,5,5,15,cant_loose
18602,a1db752a-af9d-11e9-a2fc-000d3a38a36f,954 days,3.0,405.42999999999995,2,3,2,23,at_risk
18603,92531d48-ad49-11e9-a2fc-000d3a38a36f,1058 days,17.0,1934.99,1,5,5,15,cant_loose
18604,05081884-3ed1-11ea-b794-000d3a38a36f,602 days,7.0,813.13,3,5,4,35,loyal_customers
18605,62f8a0c6-a575-11e9-a2fc-000d3a38a36f,834 days,3.0,634.76,2,3,3,23,at_risk
18606,ed7f5eb8-b026-11e9-9757-000d3a38a36f,1595 days,5.0,612.39,1,4,3,14,at_risk
18607,26f0f738-5bf3-11ea-aa73-000d3a38a36f,509 days,3.0,672.47,4,3,4,43,potential_loyalists
18608,7442a43a-a719-11e9-a2fc-000d3a38a36f,2389 days,2.0,262.96999999999997,1,2,1,12,hibernating
18609,7b7c68e6-85e2-11ea-a90b-000d3a38a36f,776 days,5.0,1043.8600000000001,2,4,5,24,at_risk
18610,d165c620-a781-11e9-a2fc-000d3a38a36f,2406 days,2.0,258.95,1,2,1,12,hibernating
18611,8926a622-a8b7-11e9-a2fc-000d3a38a36f,1875 days,6.0,745.74,1,4,4,14,at_risk
18612,c8b46b46-a298-11e9-a2fc-000d3a38a36f,806 days,2.0,327.98,2,2,2,22,hibernating
18613,37b7bac6-a84c-11e9-a2fc-000d3a38a36f,2002 days,2.0,259.98,1,2,1,12,hibernating
18614,ddb90058-15e6-11ea-aa74-000d3a38a36f,638 days,5.0,546.88,3,4,3,34,loyal_customers
18615,353e0aa2-9dac-11e9-9897-000d3a38a36f,3041 days,5.0,369.99,1,4,2,14,at_risk
18616,16be1ef8-4500-11eb-806e-000d3a38a36f,157 days,4.0,340.43,5,4,2,54,champions
18617,5088faba-d6eb-11e9-93bc-000d3a38a36f,634 days,3.0,498.96000000000004,3,3,3,33,need_attention
18618,3654a4de-5b0a-11ea-87a3-000d3a38a36f,469 days,4.0,751.2,5,4,4,54,champions
18619,dc20730a-5bca-11ea-9aa5-000d3a38a36f,528 days,4.0,2357.8900000000003,4,4,5,44,loyal_customers
18620,a53eed14-af48-11e9-a2fc-000d3a38a36f,816 days,2.0,164.89000000000001,2,2,1,22,hibernating
18621,0d78721c-d106-11ea-8b59-000d3a38a36f,305 days,2.0,82.48,5,2,1,52,potential_loyalists
18622,fde16f4e-ac02-11e9-a2fc-000d3a38a36f,783 days,4.0,532.93,2,4,3,24,at_risk
18623,c44b5a22-f1d6-11ea-bde9-000d3a38a36f,263 days,2.0,189.57999999999998,5,2,1,52,potential_loyalists
18624,8337762c-5642-11ea-b9b9-000d3a38a36f,539 days,2.0,386.98,4,2,2,42,potential_loyalists
18625,d6c59b44-0083-11ea-a5e8-000d3a38a36f,630 days,4.0,454.39,3,4,2,34,loyal_customers
18626,a37ae862-9902-11ea-b97a-000d3a38a36f,377 days,3.0,299.95,5,3,1,53,potential_loyalists
18627,5b42634e-a11a-11e9-a2fc-000d3a38a36f,832 days,3.0,228.97,2,3,1,23,at_risk
18628,d2fa0c24-9edb-11ea-80cd-000d3a38a36f,369 days,2.0,208.21999999999997,5,2,1,52,potential_loyalists
18629,c0d3f126-a5a9-11e9-a2fc-000d3a38a36f,321 days,4.0,1380.78,5,4,5,54,champions
18630,4ead3892-9e2d-11e9-9897-000d3a38a36f,487 days,3.0,145.96,4,3,1,43,potential_loyalists
18631,df58ad34-c4f8-11ea-98f7-000d3a38a36f,322 days,4.0,421.86,5,4,2,54,champions
18632,b8d62f64-2778-11eb-8a9b-000d3a38a36f,195 days,2.0,406.96000000000004,5,2,2,52,potential_loyalists
18633,5695b238-2c1b-11ea-91ab-000d3a38a36f,600 days,2.0,191.97,3,2,1,32,about_to_sleep
18634,c505bb46-5641-11ea-b9b9-000d3a38a36f,539 days,3.0,279.96,4,3,1,43,potential_loyalists
18635,766dcb38-d62e-11e9-93bc-000d3a38a36f,650 days,4.0,614.97,3,4,3,34,loyal_customers
18636,ceebdba6-f82a-11e9-b138-000d3a38a36f,510 days,2.0,173.47,4,2,1,42,potential_loyalists
18637,fb237eb6-40f2-11ea-8359-000d3a38a36f,665 days,4.0,1202.76,3,4,5,34,loyal_customers
18638,9ba6491e-2be9-11ea-91ab-000d3a38a36f,791 days,4.0,585.94,2,4,3,24,at_risk
18639,60fd76ee-bbb2-11ea-a0c9-000d3a38a36f,333 days,3.0,286.86,5,3,1,53,potential_loyalists
18640,eeaf6862-a2d6-11e9-a2fc-000d3a38a36f,802 days,4.0,353.7,2,4,2,24,at_risk
18641,555a0b22-a2bd-11e9-a2fc-000d3a38a36f,804 days,4.0,856.89,2,4,4,24,at_risk
18642,b887e240-9746-11ea-a9c8-000d3a38a36f,73 days,3.0,1074.97,5,3,5,53,potential_loyalists
18643,c14c523a-4e1c-11ea-99ba-000d3a38a36f,626 days,2.0,739.94,3,2,4,32,about_to_sleep
18644,3ab65f5e-263e-11eb-8a9b-000d3a38a36f,198 days,3.0,708.8000000000001,5,3,4,53,potential_loyalists
18645,e70a6778-b128-11e9-9757-000d3a38a36f,2940 days,51.0,4960.56,1,5,5,15,cant_loose
18646,17746382-132f-11eb-8ffc-000d3a38a36f,237 days,3.0,682.12,5,3,4,53,potential_loyalists
18647,d13be372-d34b-11ea-9838-000d3a38a36f,302 days,2.0,365.47,5,2,2,52,potential_loyalists
18648,79c1d056-c820-11ea-a167-000d3a38a36f,238 days,4.0,680.33,5,4,4,54,champions
18649,2f10b8a4-5b35-11ea-9812-000d3a38a36f,471 days,3.0,424.45,5,3,2,53,potential_loyalists
18650,f147f51a-94ea-11ea-85df-000d3a38a36f,1118 days,5.0,973.75,1,4,4,14,at_risk
18651,80a2f0c6-1da8-11ea-8bf2-000d3a38a36f,676 days,6.0,893.72,3,4,4,34,loyal_customers
18652,9335e6e2-7281-11eb-aa44-000d3a38a36f,102 days,2.0,245.85000000000002,5,2,1,52,potential_loyalists
18653,3b6b01a2-d7ac-11e9-93bc-000d3a38a36f,814 days,9.0,689.8199999999999,2,5,4,25,cant_loose
18654,2ae832cc-d721-11e9-93bc-000d3a38a36f,623 days,3.0,405.98,3,3,2,33,need_attention
18655,0e650a1c-1f6a-11ea-87bf-000d3a38a36f,611 days,3.0,479.91,3,3,3,33,need_attention
18656,533db8a8-a956-11e9-a2fc-000d3a38a36f,1670 days,3.0,687.96,1,3,4,13,at_risk
18657,1c829de2-5b3f-11ea-84d5-000d3a38a36f,499 days,4.0,306.46,4,4,2,44,loyal_customers
18658,cf3ec03e-1191-11ea-846f-000d3a38a36f,567 days,2.0,259.98,4,2,1,42,potential_loyalists
18659,edf9b052-2f31-11ea-8467-000d3a38a36f,667 days,5.0,663.1500000000001,3,4,4,34,loyal_customers
18660,8756ae3e-9f41-11e9-9897-000d3a38a36f,1824 days,4.0,360.71,1,4,2,14,at_risk
18661,1da3ec14-a8e6-11e9-a2fc-000d3a38a36f,1807 days,3.0,1033.45,1,3,5,13,at_risk
18662,d2c7fc3a-aab1-11e9-a2fc-000d3a38a36f,690 days,6.0,860.6700000000001,3,4,4,34,loyal_customers
18663,c5cb0c96-a58b-11e9-a2fc-000d3a38a36f,972 days,4.0,387.94,1,4,2,14,at_risk
18664,d6061aba-ab30-11e9-a2fc-000d3a38a36f,515 days,6.0,674.4399999999999,4,4,4,44,loyal_customers
18665,d1244776-ac82-11e9-a2fc-000d3a38a36f,626 days,4.0,779.95,3,4,4,34,loyal_customers
18666,17e8086c-1dcd-11ea-8bf2-000d3a38a36f,574 days,3.0,590.96,4,3,3,43,potential_loyalists
18667,767c3332-66b9-11ea-82da-000d3a38a36f,440 days,2.0,560.69,5,2,3,52,potential_loyalists
18668,a8c07fde-a0d4-11e9-a2fc-000d3a38a36f,838 days,3.0,455.95000000000005,2,3,3,23,at_risk
18669,df0c25bc-1ba2-11eb-8d74-000d3a38a36f,210 days,2.0,246.96999999999997,5,2,1,52,potential_loyalists
